"FarmID","FarmScaleID","SpeciesID","DiseaseID","DiseaseDiagnosis","SubstanceUsed","SubstanceCategory","Location","Disease","DiseaseSigns","AffectPart","Agent","Cause"
"88-202","Medium","Macrobrachium rosenbergii","Antenna broken","Diagnosis support from chemical supplier","Calcium carbonate","Water and sediment","Khulna","Physical Injury","Broken antenna","Antenna","None","Physical"
"88-203","Medium","Macrobrachium rosenbergii","Blue Shell Disease","Diagnosis support from chemical supplier","Benzalkonium chloride (BKC)","Disinfectants","Khulna","Blue Shell Disease","Blue Body","Body","None","Nutrition"
"88-203","Medium","Macrobrachium rosenbergii","Blue Shell Disease","Diagnosis support from chemical supplier","Aluminum potassium sulfate","Water and sediment","Khulna","Blue Shell Disease","Blue Body","Body","None","Nutrition"
"88-203","Medium","Macrobrachium rosenbergii","Antenna broken","Diagnosis support from chemical supplier","Calcium carbonate","Water and sediment","Khulna","Physical Injury","Broken antenna","Antenna","None","Physical"
"88-203","Medium","Macrobrachium rosenbergii","Rostrum broken","Diagnosis support from chemical supplier","Calcium carbonate","Water and sediment","Khulna","Physical Injury","Broken rostrum","Rostrum","None","Physical"
"88-204","Small","Macrobrachium rosenbergii","Antenna broken","Diagnosis support from chemical supplier","Calcium carbonate","Water and sediment","Khulna","Physical Injury","Broken antenna","Antenna","None","Physical"
"88-204","Small","Macrobrachium rosenbergii","Blue Shell Disease","Diagnosis support from chemical supplier","Calcium carbonate","Water and sediment","Khulna","Blue Shell Disease","Blue Body","Body","None","Nutrition"
"88-204","Small","Macrobrachium rosenbergii","Rostrum broken","Diagnosis support from chemical supplier","Calcium carbonate","Water and sediment","Khulna","Physical Injury","Broken rostrum","Rostrum","None","Physical"
"88-205","Medium","Macrobrachium rosenbergii","Sessilinasis","Own experience","Benzalkonium chloride (BKC)","Disinfectants","Khulna","Sessilinasis","Cotton-like appearance of gill and body surface","Gill/body","Bacteria","Infectious"
"88-205","Medium","Macrobrachium rosenbergii","Blue Shell Disease with bacterial infection","Own experience","Carbafuran","Pesticides","Khulna","Blue Shell Disease","Blue Body","Body","None","Nutrition"
"88-205","Medium","Macrobrachium rosenbergii","Blue Shell Disease","Own experience","Chlorpyrifos","Pesticides","Khulna","Blue Shell Disease","Blue Body","Body","None","Nutrition"
"88-205","Medium","Macrobrachium rosenbergii","Blue Shell Disease with bacterial infection","Own experience","Cypermethrin","Pesticides","Khulna","Blue Shell Disease","Blue Body","Body","None","Nutrition"
"88-205","Medium","Macrobrachium rosenbergii","Blue Shell Disease with bacterial infection","Own experience","Cypermethrin","Pesticides","Khulna","Blue Shell Disease","Blue Body","Body","None","Nutrition"
"88-205","Medium","Macrobrachium rosenbergii","Antenna broken","Own experience","Calcium carbonate","Water and sediment","Khulna","Physical Injury","Broken antenna","Antenna","None","Physical"
"88-205","Medium","Macrobrachium rosenbergii","Rostrum broken","Own experience","Calcium carbonate","Water and sediment","Khulna","Physical Injury","Broken rostrum","Rostrum","None","Physical"
"88-206","Medium","Macrobrachium rosenbergii","Antenna broken","Diagnosis support from chemical supplier","Carbafuran","Pesticides","Khulna","Physical Injury","Broken antenna","Antenna","None","Physical"
"88-206","Medium","Macrobrachium rosenbergii","Rostrum broken","Diagnosis support from chemical supplier","Carbafuran","Pesticides","Khulna","Physical Injury","Broken rostrum","Rostrum","None","Physical"
"88-206","Medium","Macrobrachium rosenbergii","Sessilinasis","Diagnosis support from chemical supplier","Carbafuran","Pesticides","Khulna","Sessilinasis","Cotton-like appearance of gill and body surface","Gill/body","Bacteria","Infectious"
"88-207","Small","Macrobrachium rosenbergii","Antenna broken","Diagnosis support from chemical supplier","Calcium carbonate","Water and sediment","Khulna","Physical Injury","Broken antenna","Antenna","None","Physical"
"88-207","Small","Macrobrachium rosenbergii","Black Spot Infection","Diagnosis support from chemical supplier","Calcium carbonate","Water and sediment","Khulna","Brown Spot Infection","Black/Brown Spots on Body","Body","Bacteria/Fungus","Infectious"
"88-207","Small","Macrobrachium rosenbergii","Blue Shell Disease with bacterial infection","Diagnosis support from chemical supplier","Calcium carbonate","Water and sediment","Khulna","Blue Shell Disease","Blue Body","Body","None","Nutrition"
"88-207","Small","Macrobrachium rosenbergii","Rostrum broken","Diagnosis support from chemical supplier","Calcium carbonate","Water and sediment","Khulna","Physical Injury","Broken rostrum","Rostrum","None","Physical"
"88-208","Small","Macrobrachium rosenbergii","Antenna broken","Diagnosis support from chemical supplier","Calcium carbonate","Water and sediment","Khulna","Physical Injury","Broken antenna","Antenna","None","Physical"
"88-208","Small","Macrobrachium rosenbergii","Rostrum broken","Diagnosis support from chemical supplier","Calcium carbonate","Water and sediment","Khulna","Physical Injury","Broken rostrum","Rostrum","None","Physical"
"88-209","Small","Macrobrachium rosenbergii","Blue Shell Disease with bacterial infection","Own experience","Karate (Trade name)","Pesticides","Khulna","Blue Shell Disease","Blue Body","Body","None","Nutrition"
"88-209","Small","Macrobrachium rosenbergii","Antenna broken","Diagnosis support from chemical supplier","Calcium carbonate","Water and sediment","Khulna","Physical Injury","Broken antenna","Antenna","None","Physical"
"88-209","Small","Macrobrachium rosenbergii","Rostrum broken","Diagnosis support from chemical supplier","Calcium carbonate","Water and sediment","Khulna","Physical Injury","Broken rostrum","Rostrum","None","Physical"
"88-209","Small","Macrobrachium rosenbergii","Sessilinasis","Own experience","Salpher","Water and sediment","Khulna","Sessilinasis","Cotton-like appearance of gill and body surface","Gill/body","Bacteria","Infectious"
"88-210","Small","Macrobrachium rosenbergii","Black Spot Infection","Own experience","Chlorater (Trade name)","Pesticides","Khulna","Brown Spot Infection","Black/Brown Spots on Body","Body","Bacteria/Fungus","Infectious"
"88-210","Small","Macrobrachium rosenbergii","Black Spot Infection","Own experience","Dartimac (Trade name)","Pesticides","Khulna","Brown Spot Infection","Black/Brown Spots on Body","Body","Bacteria/Fungus","Infectious"
"88-210","Small","Macrobrachium rosenbergii","Antenna broken","Own experience","Calcium carbonate","Water and sediment","Khulna","Physical Injury","Broken antenna","Antenna","None","Physical"
"88-210","Small","Macrobrachium rosenbergii","Rostrum broken","Own experience","Calcium carbonate","Water and sediment","Khulna","Physical Injury","Broken rostrum","Rostrum","None","Physical"
"88-211","Small","Macrobrachium rosenbergii","Antenna broken","Professional diagnostic service","Calcium carbonate","Water and sediment","Khulna","Physical Injury","Broken antenna","Antenna","None","Physical"
"88-211","Small","Macrobrachium rosenbergii","Black Spot Infection","Other research facility","Calcium carbonate","Water and sediment","Khulna","Brown Spot Infection","Black/Brown Spots on Body","Body","Bacteria/Fungus","Infectious"
"88-211","Small","Macrobrachium rosenbergii","Blue Shell Disease","Other research facility","Calcium carbonate","Water and sediment","Khulna","Blue Shell Disease","Blue Body","Body","None","Nutrition"
"88-211","Small","Macrobrachium rosenbergii","Blue Shell Disease with bacterial infection","Other research facility","Calcium carbonate","Water and sediment","Khulna","Blue Shell Disease","Blue Body","Body","None","Nutrition"
"88-211","Small","Macrobrachium rosenbergii","Rostrum broken","University","Calcium carbonate","Water and sediment","Khulna","Physical Injury","Broken rostrum","Rostrum","None","Physical"
"88-211","Small","Macrobrachium rosenbergii","Sessilinasis","Other research facility","Calcium carbonate","Water and sediment","Khulna","Sessilinasis","Cotton-like appearance of gill and body surface","Gill/body","Bacteria","Infectious"
"88-212","Small","Macrobrachium rosenbergii","Blue Shell Disease","Diagnosis support from chemical supplier","Calcium carbonate","Water and sediment","Khulna","Blue Shell Disease","Blue Body","Body","None","Nutrition"
"88-213","Small","Macrobrachium rosenbergii","Black Spot Infection","Own experience","Benzalkonium chloride (BKC)","Disinfectants","Khulna","Brown Spot Infection","Black/Brown Spots on Body","Body","Bacteria/Fungus","Infectious"
"88-213","Small","Macrobrachium rosenbergii","Black Spot Infection","Own experience","Carbafuran","Pesticides","Khulna","Brown Spot Infection","Black/Brown Spots on Body","Body","Bacteria/Fungus","Infectious"
"88-213","Small","Macrobrachium rosenbergii","Antenna broken","Own experience","Calcium carbonate","Water and sediment","Khulna","Physical Injury","Broken antenna","Antenna","None","Physical"
"88-213","Small","Macrobrachium rosenbergii","Rostrum broken","Own experience","Calcium carbonate","Water and sediment","Khulna","Physical Injury","Broken rostrum","Rostrum","None","Physical"
"88-214","Small","Macrobrachium rosenbergii","Blue Shell Disease","Diagnosis support from feed company","Cypermethrin","Pesticides","Khulna","Blue Shell Disease","Blue Body","Body","None","Nutrition"
"88-214","Small","Macrobrachium rosenbergii","White tail disease","Diagnosis support from chemical supplier","Calcium carbonate","Water and sediment","Khulna","White Tail Disease","White discoloration on tail","Appendages","Virus","Infectious"
"88-214","Small","Macrobrachium rosenbergii","Blue Shell Disease","Diagnosis support from feed company","Salpher","Water and sediment","Khulna","Blue Shell Disease","Blue Body","Body","None","Nutrition"
"88-215","Small","Macrobrachium rosenbergii","Antenna broken","Diagnosis support from chemical supplier","Calcium carbonate","Water and sediment","Khulna","Physical Injury","Broken antenna","Antenna","None","Physical"
"88-215","Small","Macrobrachium rosenbergii","Blue Shell Disease with bacterial infection","Own experience","Calcium carbonate","Water and sediment","Khulna","Blue Shell Disease","Blue Body","Body","None","Nutrition"
"88-215","Small","Macrobrachium rosenbergii","Rostrum broken","Diagnosis support from chemical supplier","Calcium carbonate","Water and sediment","Khulna","Physical Injury","Broken rostrum","Rostrum","None","Physical"
"88-215","Small","Macrobrachium rosenbergii","Sessilinasis","Own experience","Calcium carbonate","Water and sediment","Khulna","Sessilinasis","Cotton-like appearance of gill and body surface","Gill/body","Bacteria","Infectious"
"88-216","Small","Macrobrachium rosenbergii","Antenna broken","Diagnosis support from chemical supplier","Calcium carbonate","Water and sediment","Khulna","Physical Injury","Broken antenna","Antenna","None","Physical"
"88-216","Small","Macrobrachium rosenbergii","Rostrum broken","Diagnosis support from chemical supplier","Calcium carbonate","Water and sediment","Khulna","Physical Injury","Broken rostrum","Rostrum","None","Physical"
"88-217","Small","Macrobrachium rosenbergii","Antenna broken","Diagnosis support from chemical supplier","Calcium carbonate","Water and sediment","Khulna","Physical Injury","Broken antenna","Antenna","None","Physical"
"88-217","Small","Macrobrachium rosenbergii","Blue Shell Disease","Diagnosis support from chemical supplier","Calcium carbonate","Water and sediment","Khulna","Blue Shell Disease","Blue Body","Body","None","Nutrition"
"88-217","Small","Macrobrachium rosenbergii","Rostrum broken","Diagnosis support from chemical supplier","Calcium carbonate","Water and sediment","Khulna","Physical Injury","Broken rostrum","Rostrum","None","Physical"
"88-218","Small","Macrobrachium rosenbergii","Blue Shell Disease","Own experience","Lamba - cyhalothrin","Pesticides","Khulna","Blue Shell Disease","Blue Body","Body","None","Nutrition"
"88-218","Small","Macrobrachium rosenbergii","Antenna broken","Own experience","Calcium carbonate","Water and sediment","Khulna","Physical Injury","Broken antenna","Antenna","None","Physical"
"88-218","Small","Macrobrachium rosenbergii","Rostrum broken","Own experience","Calcium carbonate","Water and sediment","Khulna","Physical Injury","Broken rostrum","Rostrum","None","Physical"
"88-219","Small","Macrobrachium rosenbergii","Antenna broken","Own experience","Calcium carbonate","Water and sediment","Khulna","Physical Injury","Broken antenna","Antenna","None","Physical"
"88-219","Small","Macrobrachium rosenbergii","Rostrum broken","Own experience","Calcium carbonate","Water and sediment","Khulna","Physical Injury","Broken rostrum","Rostrum","None","Physical"
"88-219","Small","Macrobrachium rosenbergii","Blue Shell Disease","Own experience","Salpher","Water and sediment","Khulna","Blue Shell Disease","Blue Body","Body","None","Nutrition"
"88-220","Small","Macrobrachium rosenbergii","Blue Shell Disease","Own experience","Chlorater (Trade name)","Pesticides","Khulna","Blue Shell Disease","Blue Body","Body","None","Nutrition"
"88-220","Small","Macrobrachium rosenbergii","Antenna broken","Own experience","Calcium carbonate","Water and sediment","Khulna","Physical Injury","Broken antenna","Antenna","None","Physical"
"88-220","Small","Macrobrachium rosenbergii","Rostrum broken","Own experience","Calcium carbonate","Water and sediment","Khulna","Physical Injury","Broken rostrum","Rostrum","None","Physical"
"88-221","Small","Macrobrachium rosenbergii","Antenna broken","Diagnosis support from chemical supplier","Calcium carbonate","Water and sediment","Khulna","Physical Injury","Broken antenna","Antenna","None","Physical"
"88-221","Small","Macrobrachium rosenbergii","Rostrum broken","Diagnosis support from feed company","Calcium carbonate","Water and sediment","Khulna","Physical Injury","Broken rostrum","Rostrum","None","Physical"
"88-222","Small","Macrobrachium rosenbergii","Sessilinasis","Own experience","Potassium permanganate","Disinfectants","Khulna","Sessilinasis","Cotton-like appearance of gill and body surface","Gill/body","Bacteria","Infectious"
"88-222","Small","Macrobrachium rosenbergii","Blue Shell Disease with bacterial infection","Own experience","Karate (Trade name)","Pesticides","Khulna","Blue Shell Disease","Blue Body","Body","None","Nutrition"
"88-222","Small","Macrobrachium rosenbergii","Antenna broken","Diagnosis support from chemical supplier","Calcium carbonate","Water and sediment","Khulna","Physical Injury","Broken antenna","Antenna","None","Physical"
"88-222","Small","Macrobrachium rosenbergii","Rostrum broken","Diagnosis support from chemical supplier","Calcium carbonate","Water and sediment","Khulna","Physical Injury","Broken rostrum","Rostrum","None","Physical"
"88-222","Small","Macrobrachium rosenbergii","Blue Shell Disease","Own experience","Salpher","Water and sediment","Khulna","Blue Shell Disease","Blue Body","Body","None","Nutrition"
"88-223","Small","Macrobrachium rosenbergii","Antenna broken","Own experience","Calcium carbonate","Water and sediment","Khulna","Physical Injury","Broken antenna","Antenna","None","Physical"
"88-223","Small","Macrobrachium rosenbergii","Blue Shell Disease","Own experience","Calcium carbonate","Water and sediment","Khulna","Blue Shell Disease","Blue Body","Body","None","Nutrition"
"88-223","Small","Macrobrachium rosenbergii","Rostrum broken","Own experience","Calcium carbonate","Water and sediment","Khulna","Physical Injury","Broken rostrum","Rostrum","None","Physical"
"88-224","Small","Macrobrachium rosenbergii","Blue Shell Disease","Own experience","Calcium carbonate","Water and sediment","Khulna","Blue Shell Disease","Blue Body","Body","None","Nutrition"
"88-225","Small","Macrobrachium rosenbergii","Antenna broken","Own experience","Calcium carbonate","Water and sediment","Khulna","Physical Injury","Broken antenna","Antenna","None","Physical"
"88-225","Small","Macrobrachium rosenbergii","Blue Shell Disease","Own experience","Calcium carbonate","Water and sediment","Khulna","Blue Shell Disease","Blue Body","Body","None","Nutrition"
"88-225","Small","Macrobrachium rosenbergii","Blue Shell Disease with bacterial infection","Own experience","Calcium carbonate","Water and sediment","Khulna","Blue Shell Disease","Blue Body","Body","None","Nutrition"
"88-225","Small","Macrobrachium rosenbergii","Blue Shell Disease with bacterial infection","Own experience","Calcium carbonate","Water and sediment","Khulna","Blue Shell Disease","Blue Body","Body","None","Nutrition"
"88-225","Small","Macrobrachium rosenbergii","Rostrum broken","Own experience","Calcium carbonate","Water and sediment","Khulna","Physical Injury","Broken rostrum","Rostrum","None","Physical"
"88-227","Small","Macrobrachium rosenbergii","Black Spot Infection","Own experience","Calcium carbonate","Water and sediment","Khulna","Brown Spot Infection","Black/Brown Spots on Body","Body","Bacteria/Fungus","Infectious"
"88-227","Small","Macrobrachium rosenbergii","Blue Shell Disease","Own experience","Calcium carbonate","Water and sediment","Khulna","Blue Shell Disease","Blue Body","Body","None","Nutrition"
"88-227","Small","Macrobrachium rosenbergii","Sessilinasis","Own experience","Calcium carbonate","Water and sediment","Khulna","Sessilinasis","Cotton-like appearance of gill and body surface","Gill/body","Bacteria","Infectious"
"88-228","Small","Macrobrachium rosenbergii","Antenna broken","Own experience","Calcium carbonate","Water and sediment","Khulna","Physical Injury","Broken antenna","Antenna","None","Physical"
"88-228","Small","Macrobrachium rosenbergii","Rostrum broken","Own experience","Salpher","Water and sediment","Khulna","Physical Injury","Broken rostrum","Rostrum","None","Physical"
"88-229","Small","Macrobrachium rosenbergii","Antenna broken","Neighboring farmer","Salpher","Water and sediment","Khulna","Physical Injury","Broken antenna","Antenna","None","Physical"
"88-229","Small","Macrobrachium rosenbergii","Blue Shell Disease","Neighboring farmer","Salpher","Water and sediment","Khulna","Blue Shell Disease","Blue Body","Body","None","Nutrition"
"88-229","Small","Macrobrachium rosenbergii","Blue Shell Disease with bacterial infection","Neighboring farmer","Salpher","Water and sediment","Khulna","Blue Shell Disease","Blue Body","Body","None","Nutrition"
"88-229","Small","Macrobrachium rosenbergii","Rostrum broken","Neighboring farmer","Salpher","Water and sediment","Khulna","Physical Injury","Broken rostrum","Rostrum","None","Physical"
"88-229","Small","Macrobrachium rosenbergii","White tail disease","Neighboring farmer","Salpher","Water and sediment","Khulna","White Tail Disease","White discoloration on tail","Appendages","Virus","Infectious"
"88-230","Small","Macrobrachium rosenbergii","Antenna broken","Diagnosis support from chemical supplier","Salpher","Water and sediment","Khulna","Physical Injury","Broken antenna","Antenna","None","Physical"
"88-230","Small","Macrobrachium rosenbergii","Blue Shell Disease","Diagnosis support from chemical supplier","Salpher","Water and sediment","Khulna","Blue Shell Disease","Blue Body","Body","None","Nutrition"
"88-230","Small","Macrobrachium rosenbergii","Blue Shell Disease with bacterial infection","Diagnosis support from chemical supplier","Salpher","Water and sediment","Khulna","Blue Shell Disease","Blue Body","Body","None","Nutrition"
"88-230","Small","Macrobrachium rosenbergii","Rostrum broken","Diagnosis support from chemical supplier","Salpher","Water and sediment","Khulna","Physical Injury","Broken rostrum","Rostrum","None","Physical"
"88-231","Medium","Macrobrachium rosenbergii","Antenna broken","Own experience","Salpher","Water and sediment","Khulna","Physical Injury","Broken antenna","Antenna","None","Physical"
"88-231","Medium","Macrobrachium rosenbergii","Blue Shell Disease","Own experience","Salpher","Water and sediment","Khulna","Blue Shell Disease","Blue Body","Body","None","Nutrition"
"88-231","Medium","Macrobrachium rosenbergii","Blue Shell Disease with bacterial infection","Own experience","Salpher","Water and sediment","Khulna","Blue Shell Disease","Blue Body","Body","None","Nutrition"
"88-231","Medium","Macrobrachium rosenbergii","Rostrum broken","Own experience","Salpher","Water and sediment","Khulna","Physical Injury","Broken rostrum","Rostrum","None","Physical"
"88-232","Medium","Macrobrachium rosenbergii","Antenna broken","Diagnosis support from chemical supplier","Salpher","Water and sediment","Khulna","Physical Injury","Broken antenna","Antenna","None","Physical"
"88-232","Medium","Macrobrachium rosenbergii","Blue Shell Disease","Own experience","Salpher","Water and sediment","Khulna","Blue Shell Disease","Blue Body","Body","None","Nutrition"
"88-232","Medium","Macrobrachium rosenbergii","Rostrum broken","Diagnosis support from chemical supplier","Salpher","Water and sediment","Khulna","Physical Injury","Broken rostrum","Rostrum","None","Physical"
"88-233","Medium","Macrobrachium rosenbergii","Blue Shell Disease","Own experience","Benzalkonium chloride (BKC)","Disinfectants","Khulna","Blue Shell Disease","Blue Body","Body","None","Nutrition"
"88-233","Medium","Macrobrachium rosenbergii","Blue Shell Disease with bacterial infection","Own experience","Benzalkonium chloride (BKC)","Disinfectants","Khulna","Blue Shell Disease","Blue Body","Body","None","Nutrition"
"88-233","Medium","Macrobrachium rosenbergii","Antenna broken","Diagnosis support from chemical supplier","Calcium carbonate","Water and sediment","Khulna","Physical Injury","Broken antenna","Antenna","None","Physical"
"88-233","Medium","Macrobrachium rosenbergii","Rostrum broken","Diagnosis support from chemical supplier","Calcium carbonate","Water and sediment","Khulna","Physical Injury","Broken rostrum","Rostrum","None","Physical"
"88-234","Medium","Macrobrachium rosenbergii","Black Spot Infection","Own experience","Calcium carbonate","Water and sediment","Khulna","Brown Spot Infection","Black/Brown Spots on Body","Body","Bacteria/Fungus","Infectious"
"88-234","Medium","Macrobrachium rosenbergii","Blue Shell Disease","Own experience","Calcium carbonate","Water and sediment","Khulna","Blue Shell Disease","Blue Body","Body","None","Nutrition"
"88-234","Medium","Macrobrachium rosenbergii","Sessilinasis","Own experience","Calcium carbonate","Water and sediment","Khulna","Sessilinasis","Cotton-like appearance of gill and body surface","Gill/body","Bacteria","Infectious"
"88-235","Medium","Macrobrachium rosenbergii","Antenna broken","Own experience","Calcium carbonate","Water and sediment","Khulna","Physical Injury","Broken antenna","Antenna","None","Physical"
"88-235","Medium","Macrobrachium rosenbergii","Blue Shell Disease with bacterial infection","Own experience","Calcium carbonate","Water and sediment","Khulna","Blue Shell Disease","Blue Body","Body","None","Nutrition"
"88-235","Medium","Macrobrachium rosenbergii","Rostrum broken","Own experience","Calcium carbonate","Water and sediment","Khulna","Physical Injury","Broken rostrum","Rostrum","None","Physical"
"88-236","Medium","Macrobrachium rosenbergii","Antenna broken","Own experience","Calcium carbonate","Water and sediment","Khulna","Physical Injury","Broken antenna","Antenna","None","Physical"
"88-236","Medium","Macrobrachium rosenbergii","Blue Shell Disease with bacterial infection","Diagnosis support from chemical supplier","Calcium carbonate","Water and sediment","Khulna","Blue Shell Disease","Blue Body","Body","None","Nutrition"
"88-236","Medium","Macrobrachium rosenbergii","Rostrum broken","Professional diagnostic service","Calcium carbonate","Water and sediment","Khulna","Physical Injury","Broken rostrum","Rostrum","None","Physical"
"88-236","Medium","Macrobrachium rosenbergii","Sessilinasis","University","Calcium carbonate","Water and sediment","Khulna","Sessilinasis","Cotton-like appearance of gill and body surface","Gill/body","Bacteria","Infectious"
"88-237","Medium","Macrobrachium rosenbergii","Rostrum broken","Diagnosis support from chemical supplier","Carbofuran","Pesticides","Khulna","Physical Injury","Broken rostrum","Rostrum","None","Physical"
"88-237","Medium","Macrobrachium rosenbergii","Antenna broken","Diagnosis support from chemical supplier","Calcium carbonate","Water and sediment","Khulna","Physical Injury","Broken antenna","Antenna","None","Physical"
"88-237","Medium","Macrobrachium rosenbergii","Blue Shell Disease with bacterial infection","Other research facility","Calcium carbonate","Water and sediment","Khulna","Blue Shell Disease","Blue Body","Body","None","Nutrition"
"88-237","Medium","Macrobrachium rosenbergii","Rostrum broken","Diagnosis support from chemical supplier","Zeolite","Water and sediment","Khulna","Physical Injury","Broken rostrum","Rostrum","None","Physical"
"88-239","Medium","Macrobrachium rosenbergii","Antenna broken","Own experience","Calcium carbonate","Water and sediment","Khulna","Physical Injury","Broken antenna","Antenna","None","Physical"
"88-239","Medium","Macrobrachium rosenbergii","Rostrum broken","Own experience","Calcium carbonate","Water and sediment","Khulna","Physical Injury","Broken rostrum","Rostrum","None","Physical"
"88-240","Medium","Macrobrachium rosenbergii","Antenna broken","Diagnosis support from chemical supplier","Calcium carbonate","Water and sediment","Khulna","Physical Injury","Broken antenna","Antenna","None","Physical"
"88-240","Medium","Macrobrachium rosenbergii","Rostrum broken","Diagnosis support from feed company","Calcium carbonate","Water and sediment","Khulna","Physical Injury","Broken rostrum","Rostrum","None","Physical"
"88-241","Medium","Penaeus monodon","Brown Spot Disease","Own experience","Calcium carbonate","Water and sediment","Khulna","Brown Spot Infection","Black/Brown Spots on Body","Body","Bacteria/Fungus","Infectious"
"88-241","Medium","Penaeus monodon","Taura Syndrome Virus (TSV)","Own experience","Calcium carbonate","Water and sediment","Khulna","TSV","Red Body, appendages, soft shell and empty stomach","All","Virus","Infectious"
"88-242","Medium","Penaeus monodon","Brown Spot Disease","Own experience","Calcium carbonate","Water and sediment","Khulna","Brown Spot Infection","Black/Brown Spots on Body","Body","Bacteria/Fungus","Infectious"
"88-243","Medium","Penaeus monodon","Brown Spot Disease","Own experience","Calcium hypochlorite","Disinfectants","Khulna","Brown Spot Infection","Black/Brown Spots on Body","Body","Bacteria/Fungus","Infectious"
"88-243","Medium","Penaeus monodon","Brown Spot Disease","Own experience","Carbofuran","Pesticides","Khulna","Brown Spot Infection","Black/Brown Spots on Body","Body","Bacteria/Fungus","Infectious"
"88-243","Medium","Penaeus monodon","Taura Syndrome Virus (TSV)","Diagnosis support from chemical supplier","Calcium carbonate","Water and sediment","Khulna","TSV","Red Body, appendages, soft shell and empty stomach","All","Virus","Infectious"
"88-244","Medium","Penaeus monodon","Infectious Hypodermal and Haematopoietic Necrosis","Farm(s) employ trained health specialist(s)","Calcium carbonate","Water and sediment","Khulna","IHHNV","Opaque abdominal musculature","Muscle","Virus","Infectious"
"88-244","Medium","Penaeus monodon","Pale Gill and Liver","Own experience","Calcium carbonate","Water and sediment","Khulna","Early Mortality Sydrome","Pale hepatopancreas and empty stomach","Digestive","Bacteria","Infectious"
"88-244","Medium","Penaeus monodon","Vibrosis","Own experience","Calcium carbonate","Water and sediment","Khulna","Vibrosis","Body patches and muscle opacity","Body/muscle","Bacteria","Infectious"
"88-244","Medium","Penaeus monodon","WSSV","Own experience","Calcium carbonate","Water and sediment","Khulna","WSSV","White spots on carapace, appendages and cuticle","Body/appendages","Virus","Infectious"
"88-244","Medium","Penaeus monodon","Yellow Head Virus (YHV)","Own experience","Calcium carbonate","Water and sediment","Khulna","YHD","Yellow spots on Body","Body","Virus","Infectious"
"88-245","Medium","Penaeus monodon","Yellow Head Virus (YHV)","Own experience","Calcium hypochlorite","Disinfectants","Khulna","YHD","Yellow spots on Body","Body","Virus","Infectious"
"88-245","Medium","Penaeus monodon","Yellow Head Virus (YHV)","Own experience","Carbofuran","Pesticides","Khulna","YHD","Yellow spots on Body","Body","Virus","Infectious"
"88-245","Medium","Penaeus monodon","WSSV","Own experience","Calcium carbonate","Water and sediment","Khulna","WSSV","White spots on carapace, appendages and cuticle","Body/appendages","Virus","Infectious"
"88-246","Medium","Penaeus monodon","Brown Spot Disease","Own experience","Carbofuran","Pesticides","Khulna","Brown Spot Infection","Black/Brown Spots on Body","Body","Bacteria/Fungus","Infectious"
"88-246","Medium","Penaeus monodon","Cotton Shrimp Disease/Microsporidia","Own experience","Carbofuran","Pesticides","Khulna","Cotton Shrimp Disease","Cotton-like appearance of muscle tissue","Muscle","Parasite","Infectious"
"88-246","Medium","Penaeus monodon","WSSV","Own experience","Carbofuran","Pesticides","Khulna","WSSV","White spots on carapace, appendages and cuticle","Body/appendages","Virus","Infectious"
"88-246","Medium","Penaeus monodon","Yellow Head Virus (YHV)","Own experience","Carbofuran","Pesticides","Khulna","YHD","Yellow spots on Body","Body","Virus","Infectious"
"88-246","Medium","Penaeus monodon","Taura Syndrome Virus (TSV)","Own experience","Calcium carbonate","Water and sediment","Khulna","TSV","Red Body, appendages, soft shell and empty stomach","All","Virus","Infectious"
"88-247","Medium","Penaeus monodon","Taura Syndrome Virus (TSV)","Own experience","Calcium hypochlorite","Disinfectants","Khulna","TSV","Red Body, appendages, soft shell and empty stomach","All","Virus","Infectious"
"88-247","Medium","Penaeus monodon","Black Gill Disease","Own experience","Zeolite","Water and sediment","Khulna","Black Gill Disease","Black Spots on Gill","Gills","Bacteria/Fungus","Infectious"
"88-247","Medium","Penaeus monodon","Necrotising hepatopancreditis Bacterium (NHPB)","Own experience","Zeolite","Water and sediment","Khulna","Early Mortality Sydrome","Pale hepatopancreas and empty stomach","Digestive","Bacteria","Infectious"
"88-248","Medium","Penaeus monodon","Brown Spot Disease","Own experience","Calcium hypochlorite","Disinfectants","Khulna","Brown Spot Infection","Black/Brown Spots on Body","Body","Bacteria/Fungus","Infectious"
"88-248","Medium","Penaeus monodon","Cotton Shrimp Disease/Microsporidia","Own experience","Calcium hypochlorite","Disinfectants","Khulna","Cotton Shrimp Disease","Cotton-like appearance of muscle tissue","Muscle","Parasite","Infectious"
"88-248","Medium","Penaeus monodon","WSSV","Own experience","Calcium carbonate","Water and sediment","Khulna","WSSV","White spots on carapace, appendages and cuticle","Body/appendages","Virus","Infectious"
"88-249","Medium","Penaeus monodon","Brown Spot Disease","Own experience","Potassium permanganate","Disinfectants","Khulna","Brown Spot Infection","Black/Brown Spots on Body","Body","Bacteria/Fungus","Infectious"
"88-249","Medium","Penaeus monodon","Cotton Shrimp Disease/Microsporidia","Own experience","Potassium permanganate","Disinfectants","Khulna","Cotton Shrimp Disease","Cotton-like appearance of muscle tissue","Muscle","Parasite","Infectious"
"88-249","Medium","Penaeus monodon","Vibrosis","Own experience","Potassium permanganate","Disinfectants","Khulna","Vibrosis","Body patches and muscle opacity","Body/muscle","Bacteria","Infectious"
